dt_venda,key_loja,cod_produto,qtd_vendas,vlr_venda_tabelado_mean,vlr_desconto_mean,categoria_produto,sub_categoria_produto,linha_produto
2024-02-24,8,51387,2,614.7,120.0,157293.0,483679,212257
2024-02-24,8,52004,17,325.6941176470588,94.9464705882353,217.0,422944,731659
2024-02-24,8,52005,13,193.5,55.23923076923077,217.0,422944,731659
2024-02-24,8,52008,1,164.7,48.51,217.0,422944,731659
2024-02-24,8,54184,2,137.7,0.0,217.0,422944,390554
2024-02-24,8,74096,8,828.2625,151.17375,157293.0,483679,264366
2024-02-24,8,76664,1,419.7,86.43,157293.0,311781,109471
2024-02-24,8,76666,1,419.7,86.43,157293.0,311781,109471
2024-02-24,8,77357,1,170.7,0.0,217.0,422944,731659
2024-02-24,8,77690,1,188.7,0.0,217.0,422944,390554
2024-02-24,8,77989,2,899.7,0.0,157293.0,483679,306420
2024-02-24,8,81177,1,794.7,0.0,157293.0,483679,511346
2024-02-24,8,82045,3,307.59999999999997,89.07000000000001,217.0,422944,731659
2024-02-24,8,82046,1,164.7,33.0,217.0,422944,731659
2024-02-24,8,83845,1,1017.0,191.1,157293.0,483679,120030
2024-02-24,8,84203,3,251.6,0.0,217.0,422944,390554
2024-02-24,8,84206,4,262.125,0.0,217.0,422944,390554
2024-02-26,1,25458,4,419.7,0.0,157293.0,483679,284036
2024-02-26,1,48060,3,389.7,69.06,217.0,422944,306420
2024-02-26,1,48062,1,284.7,66.96,217.0,422944,306420
2024-02-26,1,48375,1,389.7,0.0,217.0,422944,200277
2024-02-26,1,48635,1,419.7,0.0,955075.0,483679,284036
2024-02-26,1,49887,1,140.7,0.0,217.0,422944,390554
2024-02-26,1,49893,2,188.7,0.0,217.0,422944,390554
2024-02-26,1,49954,1,230.7,0.0,217.0,422944,731659
2024-02-26,1,51237,1,209.7,0.0,217.0,422944,390554
2024-02-26,1,51387,1,614.7,120.0,157293.0,483679,212257
2024-02-26,1,52004,1,230.7,48.0,217.0,422944,731659
